I apologize for the oversight in the numbering and continuity of the Short Answer questions in the previous response. Here is the complete and corrected list of 54 practice short answer questions, covering all necessary topics for your final exam.
Practice Short Answer Questions (54 Questions Total)
Topic 1: ML Introduction, Data, and Preprocessing (12 Questions)
ID
	Topic
                  26. Explain what the SSE (Sum of Squared Errors) measures in K-means and how the algorithm minimizes it.

                     * Reasoning: SSE measures the total error of approximating every data point by its assigned centroid,. It is defined as the sum of squared Euclidean distances between each point and its assigned centroid. K-means minimizes SSE using alternating optimization, where subsequent assignments and mean calculations ensure the SSE decreases or stays the same in every iteration,.
                     27. Describe K-means++ initialization and explain why it is an improvement over simple random initialization.

                        * Reasoning: K-means++ chooses the initial centroids such that subsequent centroids are far away from already chosen centroids. It starts by choosing a random point as $c_1$. It then selects the next centroid $c_2$ with probability proportional to the squared distance $D(x_j, c_1)^2$. This method helps avoid poor local optima resulting from simple random placement.
                        28. Explain two limitations of the K-means clustering algorithm.

                           * Reasoning: 1. K-means is sensitive to noisy data and outliers because the mean (centroid) can be substantially distorted by extreme values. 2. It requires specifying $K$ (the number of clusters) in advance. 3. It is only applicable to objects in a continuous n-dimensional space.
                           29. When performing hierarchical clustering, compare Single Linkage and Complete Linkage in terms of how distance between clusters is defined.

                              * Reasoning: Single Linkage computes the distance between two clusters based on the smallest distance (minimum pairwise distance) between an element in one cluster and an element in the other, tending to find local patterns,. Complete Linkage computes the distance based on the largest distance between elements, tending to find clusters based on global proximities,.
                              30. What is the goal of density-based clustering methods like DBSCAN, and what two parameters do they require?

                                 * Reasoning: The motivation is to discover clusters of arbitrary shapes and handle noise. DBSCAN requires two parameters: Eps (Maximum radius of the neighborhood) and MinPts (Minimum number of points in an Eps-neighborhood).
                                 31. Explain the meaning of a core point and a border point in DBSCAN.

                                    * Reasoning: A core point is a point $q$ whose Eps-neighborhood contains at least $MinPts$ number of points. A border point is a non-core point that is density-reachable from a core point but does not satisfy the core point condition.
                                    32. Describe two different ways to determine the optimal number of clusters $K$ when ground truth labels are unavailable.

                                       * Reasoning: 1. Elbow Method (Knee Finding): Plot the SSE (Sum of Squared Errors) versus $K$. The optimal $K$ is suggested where the decrease in SSE shows diminishing returns (the "knee" of the curve),. 2. Silhouette Coefficient: Calculate the average Silhouette Coefficient for different values of $K$. The value of $K$ that maximizes the Silhouette Coefficient (which measures cohesion vs. separation) often indicates good clustering quality.
                                       33. Define Cluster Homogeneity and Cluster Completeness, and explain why they are considered fundamental restrictions for evaluation metrics.

                                          * Reasoning: Cluster Homogeneity requires that clusters should not mix items belonging to different categories (the purer, the better),. Cluster Completeness requires that items belonging to the same category should be grouped in the same cluster,. These are the two most basic restrictions any clustering evaluation metric must hold.
                                          34. Why is the optimal solution for K-means clustering considered NP-Hard?

                                             * Reasoning: Finding the optimal partition of $N$ objects into $K$ clusters such that the SSE is globally minimized is an NP-Hard problem. This is because exhaustively enumerating all possible partitions is computationally infeasible. K-means uses a heuristic method (Lloyd's algorithm) to find a local optimum instead,.
Topic 7: Advanced Unsupervised Techniques (10 Questions)
                                             35. Explain the significance of the Eckart Young Theorem in the context of dimensionality reduction using SVD.

                                                * Reasoning: The SVD decomposes the data matrix $X$. The Eckart Young Theorem guarantees that if we choose to keep only the first $r$ singular vectors and values (truncated SVD), the resulting matrix reconstruction $X_r$ is the best rank $r$ approximation of the original data matrix $X$ that minimizes the squared error,,.
                                                36. Contrast the underlying principles of PCA/SVD versus Non-Negative Matrix Factorization (NMF) in terms of constraints and interpretability.

                                                   * Reasoning: PCA/SVD factors a matrix without explicit sign constraints, seeking maximum variance captured,. NMF enforces the constraint that the resulting factor matrices ($U$ and $V$) must be element-wise non-negative ($\ge 0$). This constraint aids in interpretation, often resulting in a clear "sum-of-parts" representation.
                                                   37. Describe the architecture and primary function of an Autoencoder.

                                                      * Reasoning: An Autoencoder is a neural network model used for dimensionality reduction (an unsupervised task),. Its architecture features an Encoder that maps high-dimensional input to a low-dimensional latent projection, and a Decoder that reconstructs the input from this projection, effectively forcing the network to learn a compressed representation.
                                                      38. In the context of the K-NN assignment (Assignment 2), explain the critical steps required to apply SVD for dimensionality reduction to both training and test data.

                                                         * Reasoning: 1. The training data must be centered (mean subtracted). 2. SVD is computed only on the centered training data,,. 3. The test data must also be centered using the mean calculated from the training data. 4. Both sets are then projected into the lower $r$-dimensional space using the appropriate truncated $V^T$ matrix (the right singular vectors).
                                                         39. How does Collaborative Filtering typically utilize matrix factorization to make predictions?

                                                            * Reasoning: Matrix Factorization approximates the User-Item matrix $X$ as $X \approx U V^T$, where $U$ holds user latent factors and $V$ holds item latent factors. To predict an unknown rating, the model calculates the dot product of the corresponding user latent factor vector and item latent factor vector.
                                                            40. Explain the purpose of Co-clustering (or Biclustering) and provide an example of where it is used.

                                                               * Reasoning: Co-clustering groups rows and columns simultaneously in a matrix. It is used to find dense, coherent submatrices or blocks. An example application is in biological data analysis (e.g., Gene Expression data), where co-clusters might correspond to different types of cancer.
                                                               41. Define the three properties required for a distance function to be considered a metric, and specify which one helps reduce computation.

                                                                  * Reasoning: The three properties are: 1. Positive-definiteness: $d(i, j) > 0$ if $i \neq j$, and $d(i, i) = 0$. 2. Symmetry: $d(i, j) = d(j, i)$. 3. Triangle Inequality: $d(i, j) \leq d(i, k) + d(k, j)$. The Symmetry property can be exploited to reduce computations.
                                                                  42. Describe how the Local Outlier Factor (LOF) algorithm determines which points are considered outliers.

                                                                     * Reasoning: LOF assigns an "outlier score" based on a tradeoff between local density and how far away a point is from a dense neighborhood. A point is considered a local outlier if its local density is relatively low compared to the local densities of its $k$ nearest neighbors.
                                                                     43. What is the significance of the high value in the Fourier domain when analyzing data treated as a signal?

                                                                        * Reasoning: The highest value in the Fourier domain corresponds to the main periodicity present in the data,,.
                                                                        44. In the context of fraud detection using graphs, what structure are SVD and matrix factorization often used to detect?

                                                                           * Reasoning: SVD and matrix factorization are used to detect dense blocks (or bipartite cores) in the graph's adjacency matrix, which often correspond to highly fraudulent activity.
Topic 8: Advanced Supervised Learning & Evaluation (6 Questions)
                                                                           45. Explain the core idea of Bagging (Bootstrap Aggregation) and how it combines the decisions of multiple classifiers.

                                                                              * Reasoning: Bagging involves creating multiple training sets ($D_i$) by sampling with replacement (bootstrapping) from the original dataset $D$,. A separate classifier ($M_i$) is learned for each $D_i$. The final decision is reached by majority vote among the predictions of all individual classifiers.
                                                                              46. How does SMOTE address the class imbalance problem in training data?

                                                                                 * Reasoning: SMOTE (Synthetic Minority Oversampling Technique) addresses imbalance by oversampling the minority class through generating synthetic data points,. It achieves this by finding $k$ nearest neighbors of minority examples and generating new, synthetic data points along the lines connecting these neighbors.
                                                                                 47. Define Transfer Learning and provide an example scenario where it would be beneficial (e.g., using a deep network).

                                                                                    * Reasoning: Transfer Learning extracts knowledge learned from one or more source tasks and applies that knowledge to a target task. In deep learning, a network trained on a large dataset (which learned a nice set of features) can have its final classification layer substituted and retrained for a new problem with limited data.
                                                                                    48. Describe LIME (Local Interpretable Model-Agnostic Explanations) and its approach to explaining a black-box model's prediction.

                                                                                       * Reasoning: LIME aims to locally approximate a complicated "black box" model (like a complex Neural Network) with a linear, interpretable model. It then uses this local linear model to explain the black box's local decision for a specific data point.
                                                                                       49. Explain why a $t$-test is required for statistical significance when comparing the mean error rates of two classifiers ($M_1$ and $M_2$) obtained via cross-validation.

                                                                                          * Reasoning: The mean error rates are estimates, and the $t$-test is used to determine if the observed difference is statistically significant or if it is merely attributed to chance,. It operates by testing the Null Hypothesis (that the two classifiers perform the same),.
                                                                                          50. In the context of the Bias-Variance Tradeoff, describe the typical characteristics of underfitting (simple model) versus overfitting (complex model) regarding bias and variance.

                                                                                             * Reasoning: Underfitting (simple model) is characterized by high bias and low variance,,. Overfitting (complex model) is characterized by low bias but high variance,.
Practice True/False Questions (570 Questions Total)
Topic 1: Introduction, Logistics, and Data Types (55 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 1
	Logistics
	The final exam contributes 20% to the overall grade, matching the weight of the midterm exam.
	False
	The final exam contributes 35% of the grade, while the midterm contributes 20%.
	T/F 2
	Logistics
	Assignments are typically required to be implemented from scratch, meaning students should avoid using existing library calls that perform the entire required operation.
	True
	Students must implement methods from scratch, and may not use existing library calls that basically perform the operation requested.
	T/F 3
	Logistics
	For coding assignments, a short video walkthrough is a mandatory component, and if missing, the entire assignment component will not be graded.
	True
	The video walkthrough is a mandatory component, and if missing, the entire assignment component will not be graded, although the walkthrough itself is graded up to 5%.
	T/F 4
	Logistics
	The core expectation in this course is the memorization of all material presented in the slides.
	False
	The instructor expects intuitive high-level understanding rather than memorization of all material in the slides.
	T/F 5
	Logistics
	Instances of academic misconduct will be reported only if substantial portions of code are copied without citation.
	False
	Instances of academic misconduct will be reported if identified, regardless of scale.
	T/F 6
	Logistics
	Changing variable and function names from an online source and presenting it as one's own work is considered acceptable as long as the original code structure is modified.
	False
	Changing variable and function names from an online source and presenting it as your own work still counts as plagiarism.
	T/F 7
	Logistics
	When submitting questions to the TAs, the preferred method is to use Canvas.
	True
	Students are asked to use Canvas for questions to the TA.
	T/F 8
	Logistics
	If a student receives help from an AI-powered tool like ChatGPT, they must clearly describe the help received and document how they produced their own implementation based on that help.
	True
	If help is received from AI tools, the student should clearly describe the help and document how they produced their own implementation.
	T/F 9
	ML Intro
	Machine Learning algorithms are studied based on how they improve their performance at some task with experience.
	True
	Machine Learning is the study of algorithms that improve their performance at some task with experience.
	T/F 10
	Data Types
	Data objects are also commonly referred to as samples, instances, data points, or tuples.
	True
	Data objects are also called samples, examples, instances, data points, objects, or tuples.
	T/F 11
	Data Types
	In a database context, data objects correspond to columns, while attributes correspond to rows.
	False
	Database rows correspond to data objects, and columns correspond to attributes.
	T/F 12
	Data Types
	Nominal features are those that have a meaningful order or ranking, such as army rankings or grades.
	False
	Ordinal features have a meaningful order or ranking, while nominal/categorical features are categories or "names of things".
	T/F 13
	Data Types
	A binary feature is fundamentally a numerical feature type.
	False
	A binary feature is a nominal feature with only two states (0 and 1).
	T/F 14
	Data Types
	For asymmetric binary features, the convention is often to assign 1 to the least important outcome.
	False
	The convention for asymmetric binary features is to assign 1 to the most important outcome.
	T/F 15
	Data Types
	Discrete features always have a finite set of values.
	False
	Discrete features have a finite or countably infinite set of values.
	T/F 16
	Data Types
	Continuous features are typically represented as integer variables.
	False
	Continuous features typically have real numbers as values and are represented as floating-point variables.
	T/F 17
	Data Types
	One-hot encoding is a method used to represent nominal/categorical features.
	True
	One-hot encoding is a convenient way of representing categorical features.
	T/F 18
	Data Types
	In one-hot encoding, all positions corresponding to categories not taken by a data point must be stored as '0' in the resulting vector.
	False
	All 0s can be implied, meaning there is no need to store them as actual numbers.
	T/F 19
	Data Types
	Transaction data and document data are both considered types of record data.
	True
	Records types include relational records, data matrix, document data (term-frequency vector), and transaction data.
	T/F 20
	Data Types
	Molecular structures and knowledge graphs are examples of graph and network data types.
	True
	Graph and network data types include molecular structures and knowledge graphs.
	T/F 21
	Data Types
	Data mining is defined as the process of extracting implicit, previously unknown, and potentially useful patterns or knowledge from huge amounts of data.
	True
	Data mining is the extraction of interesting (non-trivial, implicit, previously unknown and potentially useful) patterns or knowledge from huge amounts of data.
	T/F 22
	Data Types
	Classification is an example of unsupervised learning because the class labels are known in the training data.
	False
	Classification is an example of supervised learning because it uses labeled examples to learn a model.
	T/F 23
	Data Types
	Clustering is a supervised learning task aimed at grouping data when class labels are unknown.
	False
	Clustering is an unsupervised learning task where the class label is unknown, aiming to group data to form new categories.
	T/F 24
	Data Types
	The principle of clustering involves minimizing intra-class similarity while maximizing interclass similarity.
	False
	The principle of clustering involves maximizing intra-class similarity and minimizing interclass similarity.
	T/F 25
	Data Types
	Outlier analysis and association rule mining are categories of data mining methods distinct from classification and clustering.
	True
	Outlier & Anomaly Detection and Association and Rule Mining are listed alongside Classification & Regression and Clustering as classes of methods.
	T/F 26
	Data Types
	The "Beer and Diaper" example is a frequently cited application for classification tasks.
	False
	The "Beer and Diaper" scenario is a recurring theme when describing frequent pattern analysis and association rule mining.
	T/F 27
	Data Types
	Data Science is an alternative name for Data Mining or Knowledge Discovery in Databases (KDD).
	True
	Alternative names for Data Mining include Data Science and Knowledge Discovery (mining) in databases (KDD).
	T/F 28
	ML Intro
	Regression models typically predict categorical class labels (discrete or nominal).
	False
	Regression models continuous-valued functions, predicting unknown or missing numerical values.
	T/F 29
	ML Intro
	Classification models predict continuous-valued outputs.
	False
	Classification models predict categorical class labels (discrete or nominal).
	T/F 30
	ML Intro
	The training set for model construction must be independent of the test set used for performance estimation.
	True
	The test set must be independent of the training set to avoid bad outcomes.
	T/F 31
	Data Types
	Temporal data is an alternative name for graph data.
	False
	Temporal data (time-series) is a separate type of data from Graph and network data.
	T/F 32
	Logistics
	The quizzes and exams are typically administered in-class using Canvas, requiring students to bring a laptop and their student ID.
	True
	Quizzes and exams are in-class but administered via Canvas, requiring a laptop and student ID.
	T/F 33
	Logistics
	The format for quizzes usually includes True/False and Multiple Choice questions, but the midterm and final also include open-ended questions.
	True
	Quizzes use T/F and Multiple Choice, while the Midterm/Final use the same plus some open-ended questions.
	T/F 34
	Data Types
	The four main stages of the Data Science Pipeline are Raw Data, Pre-processing, Analysis, and Post-proc.
	False
	The data science pipeline includes Raw Data, Pre-processing, Analysis, Evaluation, Interpretation, Visualization, and Knowledge.
	T/F 35
	Data Types
	Supervised learning relies on labeled examples, whereas unsupervised learning uses unlabeled data to find structure.
	True
	Supervised learning uses labeled examples, while unsupervised learning uses unlabeled data to identify structure.
	T/F 36
	ML Intro
	If we are predicting a stock price today, this would generally be considered a classification task.
	False
	Stock market prediction is listed as an example of regression.
	T/F 37
	Data Types
	In the context of credit card fraud detection, deciding whether a transaction is real or fraudulent in real time is an example of a classification task.
	True
	Classifying a transaction as real or fraudulent is a classification task.
	T/F 38
	Data Types
	The term "feature" represents a characteristic of a data object.
	True
	Features (or attributes, dimensions, variables) are data fields representing a characteristic of a data object.
	T/F 39
	Data Types
	The Lmax norm distance is the minimum difference between any component of two vectors.
	False
	The Lmax norm (L∞ norm or supremum distance) is the maximum difference between any component (attribute) of the vectors.
	T/F 40
	Data Types
	The Hamming distance is an example of the Manhattan (L1 norm) distance, specifically measuring the number of bits that are different between two binary vectors.
	True
	The Hamming distance is an example of the Manhattan (city block, L1 norm) distance.
	T/F 41
	Data Types
	The distance property of symmetry, d(i,j)=d(j,i), is only useful theoretically but does not help reduce computations in practice.
	False
	The symmetry property can be exploited to reduce computations, as there is no need to compute all pairs of distances.
	T/F 42
	Data Types
	A distance measure must satisfy Positive-definiteness, Symmetry, and Triangle Inequality to be considered a metric.
	True
	A distance that satisfies d(i,j)>0 if i
=j and d(i,i)=0 (Positive-definiteness), d(i,j)=d(j,i) (Symmetry), and d(i,j)≤d(i,k)+d(k,j) (Triangle Inequality) is a metric.
	T/F 43
	Data Types
	The Triangle Inequality property ensures that points close to a central point will also be far away from each other.
	False
	The Triangle Inequality property, if a central point is defined, ensures that points close to the "center" will also be close to each other.
	T/F 44
	Data Types
	Cosine similarity is a typical measure used to rank documents by calculating the similarity between document and query vectors in a Vector Space Model.
	True
	Documents are ranked by distance, and cosine similarity is a common similarity measure used in the Vector Space Model.
	T/F 45
	Data Types
	The cosine similarity metric can typically take values higher than 1.
	False
	The cosine similarity ranges from -1 to 1; for non-negative data (like Bag of Words vectors), it ranges from.
	T/F 46
	Data Types
	The Simple Matching Coefficient is primarily used for asymmetric binary or categorical attributes.
	False
	The Simple Matching Coefficient is typically used for symmetric binary/categorical attributes.
	T/F 47
	Data Types
	The Jaccard Similarity measure is generally preferred over the Simple Matching Coefficient when dealing with highly asymmetric binary features, such as comparing shopping carts.
	True
	Jaccard Similarity is suitable for asymmetric binary/categorical attributes, recognizing that comparing items that are not present (like 1 million items not in a cart) can overwhelm the comparison.
	T/F 48
	Data Types
	The Vector Space Model is also known as Bag of Words.
	True
	The Vector Space Model is also known as Bag of Words.
	T/F 49
	Data Types
	In the Vector Space Model, documents and queries are represented by a vector of term weights.
	True
	In the Vector Space Model (Bag of Words), documents and queries are represented by a vector of term weights.
	T/F 50
	ML Intro
	The two main steps in the supervised learning process are model optimization and knowledge extraction.
	False
	The two main steps are Model construction/Training and Model usage/Testing.
	T/F 51
	Data Types
	The mean is generally considered more robust than the median with respect to data skew.
	False
	The median is more robust with respect to skew compared to the mean.
	T/F 52
	Data Types
	In a negatively skewed distribution, the mode would typically be smaller than the median.
	False
	In a negatively skewed distribution, the mode is typically the largest measure, followed by the median, and then the mean.
	T/F 53
	Data Types
	If the mean, median, and mode are approximately the same, the data distribution is generally considered symmetric.
	True
	For symmetric data, the median, mean, and mode are approximately equal.
	T/F 54
	Data Types
	Principal Component Analysis (PCA) is an effective dimensionality reduction technique that works primarily for numeric data.
	True
	PCA is an effective dimensionality reduction technique, and works for numeric data only.
	T/F 55
	Data Types
	t-Distributed Stochastic Neighbor Embedding (t-SNE) is a linear projection method that respects distances between points.
	False
	t-SNE is a non-linear projection of points to a low-dimensional space.
	Topic 2: Basic Statistics and Visualization (55 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 56
	Stats
	The sample mean is the weighted arithmetic mean when all weights are equal.
	True
	The arithmetic mean is the weighted mean where all weights w
i
​
are 1.
	T/F 57
	Stats
	A trimmed mean involves replacing extreme values with the median before calculating the mean.
	False
	A trimmed mean involves chopping off (excluding) extreme values.
	T/F 58
	Stats
	A unimodal distribution has two values that occur most frequently.
	False
	A unimodal distribution has one mode; bimodal has two.
	T/F 59
	Stats
	The Inter-Quartile Range (IQR) is calculated as the difference between the maximum value and the minimum value.
	False
	IQR is calculated as Q3 - Q1.
	T/F 60
	Stats
	The five-number summary consists of the mean, Q1, median, Q3, and standard deviation.
	False
	The five-number summary is min, Q1, median, Q3, max.
	T/F 61
	Stats
	In a boxplot, outliers are typically plotted individually outside the whiskers.
	True
	Outliers are points beyond a specified threshold (usually 1.5 x IQR) and are plotted individually in a boxplot.
	T/F 62
	Stats
	The standard deviation is the square of the variance.
	False
	Standard deviation (s or σ) is the square root of the variance (s
2
or σ
2
).
	T/F 63
	Visualization
	Histograms display tabulated frequencies using bars, where the bars must be adjacent to represent non-overlapping intervals.
	True
	A histogram is a graph display of tabulated frequencies shown as adjacent bars, where categories are usually specified as non-overlapping intervals.
	T/F 64
	Visualization
	Normalizing a histogram provides an estimate of the cumulative distribution function of the variable.
	False
	Normalizing the histogram gives an estimate of the probability density of the variable.
	T/F 65
	Visualization
	Histograms are always preferable to boxplots because histograms show the exact values of the min, Q1, median, Q3, and max.
	False
	Boxplots show the five-number summary. However, two different distributions can have the same boxplot, meaning histograms often tell more than boxplots because they reveal the distribution shape.
	T/F 66
	Visualization
	Scatter plots are primarily used to inspect multidimensional data (many features) directly.
	False
	Scatter plots provide a first look at bivariate data (two variables), but scatterplot matrices can be very hard to inspect if the number of features is very large.
	T/F 67
	Stats
	A dataset exhibiting Anscombe's Quartet shows four different distributions that have identical standard statistical summaries, such as mean, variance, and linear regression coefficients.
	True
	Anscombe's quartet consists of four datasets that yield the same standard output (statistics and regression line equation) from a typical regression program, yet look very different visually.
	T/F 68
	Stats
	Pearson's correlation coefficient ranges from 0 to 1, where 1 indicates perfectly anti-correlated variables.
	False
	Pearson's correlation coefficient ranges from -1 to 1, where -1 indicates perfectly anti-correlated variables.
	T/F 69
	Stats
	If two variables have a Pearson correlation coefficient close to zero, we can assume there is a causal connection between them.
	False
	A correlation coefficient near zero indicates that they are uncorrelated, but correlation does not imply causation.
	T/F 70
	Stats
	The L2 norm distance is known as the Manhattan distance.
	False
	The L2 norm is the Euclidean distance, while the L1 norm is the Manhattan distance.
	T/F 71
	Visualization
	If data is perfectly anti-correlated, the scatter plot would generally show a trend where as one variable increases, the other decreases.
	True
	Negatively correlated data shows this inverse relationship.
	T/F 72
	Visualization
	Principal Component Analysis (PCA) performs dimensionality reduction by finding a projection that minimizes the variation captured in the data.
	False
	PCA finds a projection that captures the largest amount of variation in the data.
	T/F 73
	Visualization
	Multidimensional Scaling (MDS) takes a distance matrix as input and computes a low-dimensional representation that attempts to respect the original distances.
	True
	MDS takes an N×N distance matrix and computes a low-dimensional representation so that points respect the original distances.
	T/F 74
	Visualization
	The degree distribution of real-world graphs, such as follower networks, is often normally distributed (Gaussian).
	False
	In real applications, such as follower graphs, skewed degree distributions are frequently encountered, often following a power law, not a normal distribution.
	T/F 75
	Stats
	For a power law distribution, the mean is always well defined and finite.
	False
	Sometimes the mean is not well defined, and the variance is infinite, particularly for α<3 in a power law distribution p(x)∼x
−a
.
	T/F 76
	Visualization
	A boxplot cannot show if a variable follows a bimodal or multimodal distribution.
	True
	A boxplot cannot show if a variable follows a unimodal or multimodal distribution; histograms are needed for this.
	T/F 77
	Stats
	In a heavily skewed distribution, the mean is typically equal to the median.
	False
	The mean and median are only equal in symmetric distributions; in heavily skewed data, they differ.
	T/F 78
	Visualization
	A scatterplot of two variables can indicate whether there is any discriminative structure that can be separated by a line.
	True
	Scatterplots provide a first look at bivariate data to see clusters of points, helping determine separability.
	T/F 79
	Stats
	A distance function that satisfies symmetry, d(i,j)=d(j,i), is an example of a metric.
	True
	Symmetry is one of the three properties required for a distance function to be a metric.
	T/F 80
	Stats
	The formula for variance involves squaring the difference between each data point and the mean of the distribution.
	True
	Variance σ
2
is
n
1
​
∑
i=1
n
​
(x
i
​
−μ)
2
.
	T/F 81
	Stats
	An outlier in a boxplot is typically defined as a value that is higher or lower than 1.5 times the Inter-Quartile Range (IQR).
	True
	An outlier is usually defined as a value higher/lower than 1.5×IQR.
	T/F 82
	Visualization
	The ends of the box in a boxplot correspond to the minimum and maximum values in the dataset.
	False
	The ends of the box are at the first and third quartiles (Q1 and Q3).
	T/F 83
	Stats
	The mean excluding bold values (56.5) is lower than the mean including bold values (101.5) as calculated in the source example, suggesting the bold values are higher extreme values.
	True
	The mean excluding bold values is 56.5, and the mean including bold values is 101.5.
	T/F 84
	Visualization
	If data sets yield the same standard regression output, a scatterplot is unnecessary for analyzing the relationship between variables.
	False
	Anscombe's Quartet demonstrates that datasets can yield the exact same statistical output but look visually different, making visualization crucial for understanding the underlying relationship.
	T/F 85
	Visualization
	The two long vertical streaks near the top (posterior region) in the fMRI prediction images for 'celery' and 'airplane' are the left and right fusiform gyri.
	True
	The long red and blue vertical streaks near the top (posterior region) of the predicted and observed images are the left and right fusiform gyri.
	T/F 86
	Stats
	Minkowski distance is also known as L
p
​
Norm.
	True
	Minkowski distance is known as L
p
​
Norm.
	T/F 87
	Stats
	The Euclidean distance is an example of the L
1
​
norm.
	False
	Euclidean distance is the L
2
​
norm.
	T/F 88
	Stats
	In the context of metrics, the Triangle Inequality property can be used to accelerate computations.
	True
	The Triangle Inequality property can be used to accelerate/approximate computations.
	T/F 89
	Stats
	The Pearson correlation coefficient must be calculated on centered data to provide a valid measure of linear association.
	False
	Pearson's coefficient is defined as the covariance of the two variables divided by the product of their standard deviations, which does not require centering beforehand, as centering is implicit in covariance calculation.
	T/F 90
	Visualization
	A correlation matrix provides a graphical representation of pairwise correlation coefficients between multiple features.
	True
	A correlation matrix visualizes the correlation coefficients between pairs of variables.
	T/F 91
	Visualization
	If a histogram of data exhibits two distinct peaks, it is considered bimodal.
	True
	A histogram pattern showing two peaks is labeled as bimodal.
	T/F 92
	Visualization
	If a variable is positively skewed, the distribution trails off towards smaller values.
	False
	If a variable is positively skewed, the distribution trails off towards larger values (the mean is to the right of the median).
	T/F 93
	Stats
	The mean is more susceptible to the influence of outliers than the median.
	True
	The median is described as more robust with respect to skew compared to the mean, implying the mean is more sensitive to extreme values (outliers).
	T/F 94
	Visualization
	The whisker in a boxplot extends up to the maximum value that is not considered an outlier.
	True
	Whiskers extend to the Minimum and Maximum (non-outlier values).
	T/F 95
	Visualization
	The height of the box in a boxplot represents the Inter-Quartile Range (IQR).
	True
	The ends of the box are Q1 and Q3, so the height is the IQR.
	T/F 96
	Visualization
	In a scatterplot matrix of the Iris dataset, features (petal length, petal width) show strong positive correlation.
	True
	The scatterplot for (petal_length, petal_width) shows clear visual correlation and separability in the Iris dataset.
	T/F 97
	Visualization
	A primary motivation for using visualization techniques like scatterplots is to get an intuitive idea of the data characteristics and distribution.
	True
	Visualization is useful to "Eye-ball" the data and get an idea of the characteristics and distribution.
	T/F 98
	Stats
	The density of points is critical to clustering and outlier analysis, but it becomes less meaningful as dimensionality increases.
	True
	As dimensionality increases, data becomes increasingly sparse, making density and distance between points less meaningful (Curse of Dimensionality).
	T/F 99
	Stats
	The Mean Squared Error (MSE) of an estimator h(x) can be decomposed into bias, variance, and irreducible (unavoidable) error.
	True
	E[(y−h(x))
2
]=bias
2
+variance+unavoidable error.
	T/F 100
	Stats
	Highly correlated variables should be treated as independent in machine learning models to improve generalization.
	False
	Highly correlated features may lead to redundancy.
	T/F 101
	Visualization
	PCA works by minimizing the reconstruction error of the original data when projected onto a smaller space.
	True
	PCA finds the best low rank approximation, which minimizes the squared error (Eckart Young Theorem).
	T/F 102
	Visualization
	PCA is equivalent to SVD applied to centered data.
	True
	SVD gives PCA in centered data.
	T/F 103
	Stats
	The standard error of the mean (SEM) is calculated as the standard deviation divided by the square root of the number of samples.
	True
	SEM is defined as σ/
n

​
.
	T/F 104
	Stats
	The term 'L1 norm' is also referred to as the city block distance or Manhattan distance.
	True
	p=1 is the Manhattan (city block, L1 norm) distance.
	T/F 105
	Stats
	The concept of "sparsity" in vector representations is often promoted by using L2 norm regularization.
	False
	L1 norm regularization (Lasso) promotes sparsity (forcing coefficients exactly to zero), while L2 norm regularization (Ridge) generally gives small but non-zero values.
	Topic 3: Data Preprocessing (65 Questions)
ID
	Topic
	Question
	Answer
	Reasoning
	T/F 106
	Data Cleaning
	A common strategy for handling missing values when performing classification is to ignore the data point entirely if the class label is missing.
	True
	Ignoring the data point is usually done when the class label is missing (when doing classification).
	T/F 107
	Data Cleaning
	Filling in missing data with the attribute mean for all samples belonging to the same class is considered a less sophisticated method than using a global constant.
	False
	Filling missing values with the mean for all samples in the same class is a smarter method than using a global constant like "unknown".
	T/F 108
	Data Cleaning
	Noisy data refers to data that is lacking attribute values or containing only aggregate data.
	False
	Noisy data contains noise, errors, or outliers. Lacking attribute values refers to incomplete data.
	T/F 109
	Data Integration
	Entity identification, or resolution, is the problem of identifying real-world entities that appear across multiple data sources, such as linking "Bill Clinton" to "William Clinton."
	True
	Entity identification/resolution identifies real-world entities from multiple data sources.
	T/F 110
	Data Integration
	Schema integration primarily deals with resolving conflicts in data values, such as converting between metric and British units.
	False
	Schema integration deals with integrating metadata (e.g., A.cust-id ≡ B.cust-num). Resolving data value conflicts is a separate challenge in data integration.
	T/F 111
	Data Integration
	Redundant data can often be detected using correlation analysis.
	True
	Redundant attributes may be detected by correlation analysis.
	T/F 112
	Data Reduction
	The Curse of Dimensionality refers to the phenomenon where model performance increases and then rapidly drops as the number of features increases.
	True
	This describes the Hughes Phenomenon, which is a key aspect of the Curse of Dimensionality.
	T/F 113
	Data Reduction
	As dimensions increase, the ratio of the distance to the furthest point versus the distance to the closest point approaches zero.
	True
	The ratio of the furthest to closest point diminishes as the number of dimensions grows.
	T/F 114
	Data Reduction
	Dimensionality reduction techniques like PCA help to eliminate irrelevant features and reduce noise.
	True
	Dimensionality reduction helps eliminate irrelevant features, reduce noise, and avoid the curse of dimensionality.
	T/F 115
	Data Reduction
	PCA is generally ineffective for dimensionality reduction because it only works for numeric data.
	False
	PCA is a key dimensionality reduction technique and works only for numeric data.
	T/F 116
	Data Reduction
	An irrelevant attribute is one that is highly correlated with another attribute in the dataset.
	False
	Irrelevant attributes contain no useful information for the mining task. Highly correlated attributes are considered redundant.
	T/F 117
	Data Reduction
